Accesion	Protein Description	Genes	# of Peptides	1-sort	2-sort	3-sort	4-sort		1-unsort	2-unsort	3-unsort	4-unsort
Q04690	Neurofibromin	Nf1	52	1319530	1391360	1461060	1477420		1428150	1525440	1334390	1496900
Q9DB90	Protein SMG9	Smg9	10	1370510	1391110	1098440	1004270		1309020	1475950	919917	1218310
Q6P1G0	HEAT repeat-containing protein 6	Heatr6	19	1161890	1391050	1331190	1291160		1254640	1374680	935887	1347440
Q8K1A5	Transmembrane protein 41B	Tmem41b	4	1359970	1390430	1094040	1301910		1893100	1566690	996260	948802
Q8JZX9	Cdc42 effector protein 2	Cdc42ep2	5	1252550	1390270	1744210	2607200		1613560	1923360	1710560	2501090
Q80V86	Integrator complex subunit 8	Ints8	18	1542710	1389220	1438510	1250410		1351860	1385080	1149730	1120230
P23927	Alpha-crystallin B chain	Cryab	9	373575	1387880	673297	1033870		419865	1463370	2.22E+07	2240370
Q8C170;Q9QY06	Unconventional myosin-IXa	Myo9a;Myo9b	4	1515720	1387220	1931350	1983300		1626430	1703900	1678530	1879590
Q9DBR4	Amyloid beta precursor protein binding family B member 2	Apbb2	22	1589340	1386640	1592150	1405780		1597330	1773110	1350370	1611120
Q9CZ15	DNA replication complex GINS protein PSF1	Gins1	4	981078	1386520	1079380	1669830		989003	1081070	1122400	1333690
Q921C5	Protein bicaudal D homolog 2	Bicd2	32	1479530	1386100	1410040	1679820		1469780	1776180	1224720	1696650
Q6NZM9	Histone deacetylase 4	Hdac4	24	1532760	1386010	1428990	1450470		1805070	1185730	1417290	1618110
Q9CQF4	Mitochondrial transcription rescue factor 1	Mtres1	5	1912700	1385940	2040800	2012390		1442300	1440320	2445630	1634900
Q9JI78	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	Ngly1	11	1263500	1385460	1469430	1695370		1636000	1670780	1583270	1899340
Q8C167	Prolyl endopeptidase-like	Prepl	13	1239580	1385190	1069340	1313560		1284150	1318740	936731	1449220
Q01721	Growth arrest-specific protein 1	Gas1	8	2395960	1383450	563286	228691		2352830	1522810	397413	415197
Q9CQV1	Mitochondrial import inner membrane translocase subunit TIM16	Pam16	5	1311150	1382440	978803	1607530		1277130	1306690	988921	1734530
Q3TBW2	"39S ribosomal protein L10, mitochondrial"	Mrpl10	9	914013	1381770	1692610	1620550		824978	1219810	1331300	1584670
Q3UPI1	Golgi-associated kinase 1B	GaskbB	12	1230000	1381730	1561950	2171940		1197070	1404950	1141980	2263760
Q78IS1	Transmembrane emp24 domain-containing protein 3	Tmed3	8	1887750	1380590	1758520	1297090		1622690	1487900	1418610	1628980
Q9Z0V7	Mitochondrial import inner membrane translocase subunit Tim17-B	Timm17b	4	1753540	1380000	2067820	1864640		1507340	1373970	1826230	1914530
Q8BTY8	Sec1 family domain-containing protein 2	Scfd2	17	1101260	1379660	1511350	2100670		1220070	1174700	1371920	1905000
Q8VCH7	Retinol dehydrogenase 10	Rdh10	10	1113230	1378140	644581	873312		1073170	1287720	858201	1297230
P35951	Low-density lipoprotein receptor	Ldlr	15	897775	1377830	925401	1545760		934037	1362790	852222	1339560
Q14AI0	Sister chromatid cohesion protein DCC1	DSCC1	9	901431	1377560	1378210	1485630		568482	1147140	1223230	1046040
Q9DCB1	High mobility group nucleosome-binding domain-containing protein 3	Hmgn3	4	2009290	1376870	2261430	2044560		1131980	329407	2242540	1450700
P97864	Caspase-7	Casp7	8	473260	1376630	1032110	753584		544358	1295020	489961	1397740
Q9CY94	DNA replication complex GINS protein PSF3	Gins3	9	1462160	1376070	1065940	1357110		1338410	1269100	854653	1195950
Q6P6J9	Thioredoxin domain-containing protein 15	Txndc15	7	1253290	1375650	615971	1035130		913568	1043350	451557	1245250
Q9JKW0	ADP-ribosylation factor-like protein 6-interacting protein 1	Arl6ip1	2	1662860	1374710	1092380	1287910		1471800	1286780	1028930	1485240
Q9EPC1;Q9ES46	Alpha-parvin	Parva;Parvb	1	1621410	1373950	2108070	1958410		1469970	1289680	1757300	2039590
Q9R1S3	GPI ethanolamine phosphate transferase 1	Pign	18	1381170	1372840	1854820	1669470		1352650	1179190	1746900	1879220
Q0VGY8	Protein TANC1	Tanc1	53	1272060	1372190	1342160	1503820		1247550	1408690	1231160	1816180
P22366	Myeloid differentiation primary response protein MyD88	Myd88	12	1598790	1372090	1438760	1806550		1427940	1670590	1204470	1547620
Q8R2K4	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L	Taf6l	13	1515880	1371590	1096640	1245820		944104	1704330	953213	1319290
Q99JR8	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	Smarcd2	18	1789090	1370440	1680700	1176370		1628290	1440250	1388200	1296170
Q6ZQM8	UDP-glucuronosyltransferase 1A7	Ugt1a7	10	1144880	1370050	1161220	2209510		1298000	1861410	1112570	2289450
Q99N92	"39S ribosomal protein L27, mitochondrial"	Mrpl27	5	1529100	1369980	1426870	1177250		1385630	1560680	1215960	1351010
Q922E6	"FAST kinase domain-containing protein 2, mitochondrial"	Fastkd2	11	1077940	1368220	1751220	1061720		1183080	945500	1456750	1104790
Q6ZQK0	Condensin-2 complex subunit D3	Ncapd3	26	1358160	1368070	1143720	1631700		1171190	1339700	869585	1477720
P0DPE0	EEF1A lysine methyltransferase 4	Eef1akmt4	4	854789	1367160	935867	759554		879481	2395470	967730	815646
Q64435	UDP-glucuronosyltransferase 1-6	Ugt1a6	9	859349	1365840	1373960	1833700		635196	1030790	1180550	1779330
O54998	Peptidyl-prolyl cis-trans isomerase FKBP7	Fkbp7	9	1529430	1365360	2105360	1718350		1405660	1112370	1603960	1863320
P52623	Uridine-cytidine kinase 1	Uck1	5	661193	1364570	1166090	1258850		743186	504309	1406030	1373760
E9PWW9	Remodeling and spacing factor 1	Rsf1	27	1647580	1361710	1795410	1523390		1569470	1362040	1454880	1570420
Q80XI4	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Pip4k2b	9	1172250	1360970	1568430	1524510		1244180	1266310	1834650	1317720
Q99L00	HAUS augmin-like complex subunit 8	Haus8	8	1452210	1360930	1261670	1358140		1379300	1464430	1275250	1588630
Q9QWV9	Cyclin-T1	Ccnt1	14	1985520	1360850	1690860	1648060		1904080	1531470	1286330	1312060
Q3TMW1	Coiled-coil domain-containing protein 102A	Ccdc102a	17	1508730	1360680	1636170	1718730		1600810	1639850	1530080	1564300
Q8BX57	PX domain-containing protein kinase-like protein	Pxk	10	1356820	1360670	1473710	1830590		1314310	1447980	1099020	1671200
Q9D8T2	Gasdermin-D	Gsdmd	15	1560390	1357100	2005120	1868830		1505240	1596010	1686870	1965540
Q6GQT1	Alpha-2-macroglobulin-P	A2m	3	914433	1354870	2184450	1455700		1030120	1724870	1839830	1244820
Q8C6E0	Cilia- and flagella-associated protein 36	Cfap36	13	1621230	1354340	1652190	1499620		1703310	1585430	1633920	1578000
P61079;P61080;P62838	Ubiquitin-conjugating enzyme E2 D3	Ube2d1;Ube2d2;Ube2d3	1	4148320	1354270	752925	583190		3199830	4509880	4903150	567388
Q91WG3	Mitochondrial mRNA pseudouridine synthase Trub2	Trub2	7	830623	1353330	1263730	1443440		751492	978645	1253680	1257130
Q9CZV5	STAGA complex 65 subunit gamma	Supt7l	4	1365020	1353090	1089360	1193600		1252310	1386530	981138	1277630
Q99NH2	Partitioning defective 3 homolog	Pard3	33	1473630	1351940	1469990	1665710		1323710	1349060	1321250	1576750
P33174	Chromosome-associated kinesin KIF4	Kif4	42	1388400	1351190	1268670	1648960		1330590	1600000	1021430	1529300
Q61136	Serine/threonine-protein kinase PRP4 homolog	Prpf4b	19	1141910	1351090	1463390	1491920		1140970	1069420	1293260	1469370
Q9Z1M4	Ribosomal protein S6 kinase beta-2	Rps6kb2	7	1269280	1350830	1859410	2011060		1424730	1308650	1563700	1952890
P0C0A3	Charged multivesicular body protein 6	Chmp6	3	1442150	1350550	1331900	1787120		1228770	1432160	1111180	1978600
Q8BYR2	Serine/threonine-protein kinase LATS1	Lats1	11	988942	1348950	1029050	1001950		1045030	899737	791956	1362760
P59222	Scavenger receptor class F member 2	Scarf2	7	1111000	1348670	1334830	1031090		1569460	1806360	1337370	987691
Q80TY0	Formin-binding protein 1	Fnbp1	16	1083100	1348490	1405010	1741540		1198680	1102730	1347060	1625820
P28741	Kinesin-like protein KIF3A	Kif3a	21	1265920	1348110	1855600	2021330		1734280	1399870	1704200	1996110
Q99J93	Interferon-induced transmembrane protein 2	Ifitm2	2	1761990	1347790	2057130	1652820		1800660	1732200	2090400	1581560
Q9CXX9	CUE domain-containing protein 2	Cuedc2	9	1094090	1347540	668472	1456690		1369250	2174820	832434	1506350
S4R2K0	Peptide deformylase	Pdf	7	834761	1347070	1380510	2118620		1225610	1058630	2099260	1819310
Q6PGF7	Exocyst complex component 8	Exoc8	27	1545050	1346610	1336420	1284160		1380670	1515230	1230300	1306130
Q920Q4	Vacuolar protein sorting-associated protein 16 homolog	Vps16	22	921794	1346450	1032280	1463740		849847	1362870	1159220	1510360
Q3URE1	"Malonate--CoA ligase ACSF3, mitochondrial"	Acsf3	22	1263150	1345330	1647720	1527760		1106400	1316490	1859460	1723010
G5E8K5;Q8C8R3	Ankyrin-3	Ank2;Ank3	4	1198620	1344560	994721	1732530		1756010	1140900	1561900	1631930
Q9R1T4	Septin-6	Septin6	7	1492930	1343800	1636100	1623060		1431520	1173510	1426210	1844940
Q3U1G5	Interferon-stimulated 20 kDa exonuclease-like 2	Isg20l2	9	1454950	1343250	1679690	1371550		1280230	1324990	1021930	1448480
Q6NXI6	Regulation of nuclear pre-mRNA domain-containing protein 2	Rprd2	21	1357200	1343130	1849640	1491350		1215830	1331540	1629680	1422950
Q2HXL6	ER degradation-enhancing alpha-mannosidase-like protein 3	Edem3	12	918755	1342930	925957	1359140		777290	1046330	1022080	1249030
P42230;P42232	Signal transducer and activator of transcription 5A	Stat5a;Stat5b	7	1254780	1341140	1547360	1555740		1373110	1060930	1466450	1582920
O89013	Leptin receptor gene-related protein	Leprot	1	1157810	1340660	1187240	1272720		1129660	1108630	783000	1490720
A6H5Z3	Exocyst complex component 6B	Exoc6b	21	1569930	1340620	1791670	1362910		1464210	1437890	1416480	1476860
Q8CE94	Monocarboxylate transporter 13	Slc16a13	2	1707040	1340030	862745	2250430		974660	828959	1262040	659007
Q9CWP6	Motile sperm domain-containing protein 2	Mospd2	16	1347040	1339800	1523980	1961180		1244200	1339140	1455610	1674250
P21278;P21279	Guanine nucleotide-binding protein subunit alpha-11	Gna11;Gnaq	3	769081	1339170	1385520	1207110		958713	1081560	1294680	1297970
P43346	Deoxycytidine kinase	Dck	4	985305	1338780	517702	1496280		1034690	1152790	562364	1326350
P97858	Solute carrier family 35 member B1	Slc35b1	2	465809	1337610	1309510	1731510		732618	1169170	928356	1639480
Q8R344	Coiled-coil domain-containing protein 12	Ccdc12	4	1230960	1337270	1028800	1225090		1175290	1243280	1110000	1078290
A2A484	"Zinc finger, MYND-type-containing 8"	Zmynd8	27	1399210	1336930	1521920	1254840		1224260	1334650	1210180	1163380
Q8BUY9	Geranylgeranyl transferase type-1 subunit beta	Pggt1b	8	1624110	1336730	1299760	1359080		1679180	1456510	1469210	1609000
Q9CZP7	Hsp90 co-chaperone Cdc37-like 1	Cdc37l1	8	1303450	1335350	1045650	1108580		1016740	1410330	1293830	920650
P97360	Transcription factor ETV6	Etv6	7	751826	1334510	673832	894118		853317	1007010	554512	810962
Q9D6K5	Synaptojanin-2-binding protein	Synj2bp	5	1442760	1332470	1276920	1379160		1351400	1179550	1558020	1068760
Q62470	Integrin alpha-3	Itga3	16	1060570	1330800	1384190	1524470		1209730	1272580	1319200	1580540
Q8BHE8	"m-AAA protease-interacting protein 1, mitochondrial"	Maip1	8	1208200	1330330	1404280	1431980		1143650	1085160	1285130	1485300
Q7M753;Q8R2W9	"Pantothenate kinase 2, mitochondrial"	Pank2;Pank3	3	1188420	1329220	1013680	1558040		794388	1217720	653607	1430950
P05480;P16056;Q922K9	Neuronal proto-oncogene tyrosine-protein kinase Src	Frk;Met;Src	1	1550220	1328350	1290320	1111140		1804020	1648810	1518340	1331860
G3X8X0	RNA helicase	Dhx16	27	1222920	1327950	1403010	1567560		1305920	1264240	1433750	1599490
Q80U04	E3 ubiquitin-protein ligase Praja-2	Pja2	8	1614010	1327510	873251	1045080		1152180	1410270	699544	884791
P51943	Cyclin-A2	Ccna2	10	1159050	1327210	732029	1461470		1387850	1725140	563094	1073550
Q3TCJ1	BRISC complex subunit Abraxas 2	Abraxas2	11	1370680	1326740	1416200	1393180		1294660	1312440	1229390	1460110
O88351	Inhibitor of nuclear factor kappa-B kinase subunit beta	Ikbkb	21	1364170	1326560	1254030	1711110		1335120	1365250	1255670	1498400
Q8K012	Formin-binding protein 1-like	Fnbp1l	19	1344340	1326380	1453940	1322040		1424480	1190410	1386170	1401040
P18052	Receptor-type tyrosine-protein phosphatase alpha	Ptpra	12	1377940	1324870	1901620	1828890		1622230	1540200	2098710	1877320
Q91WE1	Sorting nexin-15	Snx15	5	1663980	1324820	1526520	1237680		1520070	1557350	1449690	802284
Q922J3	CAP-Gly domain-containing linker protein 1	Clip1	55	1435540	1323520	1623320	1797850		1474440	1325170	1886850	1868440
Q71LX4	Talin-2	Tln2	55	1154840	1323250	1428620	1640160		1258360	1268860	1833820	1739240
P18052;P49446	Receptor-type tyrosine-protein phosphatase alpha	Ptpra;Ptpre	2	1988780	1323000	619601	606810		1434940	470695	534482	597172
O70404	Vesicle-associated membrane protein 8	Vamp8	4	1576580	1322720	1181580	1279250		1572900	1842590	1022510	1126320
Q3U7U3	F-box only protein 7	Fbxo7	5	1340570	1320670	1351220	1396840		1370010	1236900	1100600	1338040
Q8K2U2	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	Alkbh6	1	828312	1319130	NaN	921823		892931	972933	1463210	1145840
O54791	Transcription factor MafF	Maff	4	672066	1318700	893890	1848950		899264	1315830	812557	1774940
Q3URD3	Sarcolemmal membrane-associated protein	Slmap	22	1198110	1315670	1124630	1108230		1135540	1162150	1249180	1115130
Q9WUH1	Transmembrane protein 115	Tmem115	3	2171450	1314870	2005550	2232690		884022	2293630	2140440	2513130
Q9WV91	Prostaglandin F2 receptor negative regulator	Ptgfrn	25	1741890	1307350	3487900	1480310		2192670	1692090	3230160	1942880
A0A571BF58	Nebulin	Neb	428	1010010	1306740	1769120	476682		NaN	2212650	5.13E+07	3596830
Q9JK83	Partitioning defective 6 homolog beta	Pard6b	6	1920180	1306200	1756160	2032840		2011720	2024860	1678300	2208920
Q8C7V8	Coiled-coil domain-containing protein 134	Ccdc134	4	938056	1306060	1711530	1649580		1383140	1041360	1760170	1512920
P70257;Q02780	Nuclear factor 1 X-type	Nfia;Nfix	1	1688220	1305840	1598030	NaN		1716220	1433630	NaN	NaN
Q8VEA4	Mitochondrial intermembrane space import and assembly protein 40	Chchd4	3	1560980	1304370	1540750	597282		606748	1562410	NaN	NaN
Q8K3D3	DNA repair protein SWI5 homolog	Swi5	2	1091520	1304270	840509	757667		885952	1549330	637574	1026790
P03995;P20152;P31001	Glial fibrillary acidic protein	Des;Gfap;Vim	1	2984280	1303840	3459320	1947040		2944010	3113420	3065740	1799920
Q8R3G1	Nuclear inhibitor of protein phosphatase 1	Ppp1r8	13	1730520	1303790	1707350	1414840		1450970	1536540	1625430	1283870
Q91YJ5	"Translation initiation factor IF-2, mitochondrial"	Mtif2	10	1357690	1303740	2047430	1678120		982889	1033630	1893780	1454790
O35387	HCLS1-associated protein X-1	Hax1	8	1404560	1303020	1104570	1640740		1196650	1657170	1154630	1460490
Q8BY89	Choline transporter-like protein 2	Slc44a2	11	2010570	1301190	2944990	1387560		1883160	1216430	2169670	1656240
Q9CPV5	Polyamine-modulated factor 1	Pmf1	9	1573080	1301100	1108450	1186360		1212280	1450790	966506	1109220
P97450	"ATP synthase-coupling factor 6, mitochondrial"	Atp5pf	2	2157320	1300760	1028070	508282		563306	1696680	1080590	587115
Q6A0A9;Q8C3F2	Constitutive coactivator of PPAR-gamma-like protein 1	FAM120A;Fam120c	2	1275510	1300500	1009340	1232550		1454130	1097520	573914	1628930
O88379	Bromodomain adjacent to zinc finger domain protein 1A	Baz1a	30	1096310	1300120	921882	1516080		946298	1331080	738835	1304050
Q3TBT3	Stimulator of interferon genes protein	Sting1	5	1213780	1300020	865754	1360850		1106900	1192580	858077	1493580
Q8BRG8	Transmembrane protein 209	Tmem209	15	1559440	1299780	1771580	1737070		1272670	1310090	1617660	1941030
Q9D4H9	PHD finger protein 14	Phf14	16	1601180	1298840	1376160	1293290		1342080	1123180	1173370	1164420
Q8C1S0	Mediator of RNA polymerase II transcription subunit 19	Med19	4	1557200	1298670	689858	643799		1806290	1826280	231420	349421
P18406	CCN family member 1	Ccn1	15	1146150	1297010	1080530	1168740		844286	787595	453587	1229360
Q9CPV7	Palmitoyltransferase ZDHHC6	Zdhhc6	6	1501910	1295880	2031010	2290090		1506740	923469	2220570	2382100
Q8BVE8	Histone-lysine N-methyltransferase NSD2	Nsd2	25	1378000	1294090	1219960	1478930		1293240	1488730	1100740	1340150
O70572	Sphingomyelin phosphodiesterase 2	Smpd2	15	1046180	1293310	1322740	1556820		1276510	1124650	1383070	1438770
Q6P6L0	Filamin A-interacting protein 1-like	Filip1l	28	1646210	1291430	1416250	1815590		1483250	1444130	1349850	1765600
Q8VCA8	Secernin-2	Scrn2	14	1230140	1291020	1454500	1401460		1248850	1394020	2089660	1567950
Q8VI63	MOB kinase activator 2	Mob2	3	1316520	1288950	997862	1130960		1514150	1356540	1164540	1305950
Q6P9L6	Kinesin-like protein KIF15	Kif15	45	1247030	1288830	1184490	1706770		1267710	1243560	1047620	1579690
Q9JM52	Misshapen-like kinase 1	Mink1	6	1062660	1288000	1386770	1992800		1384970	1660490	1591700	2043750
B2RX14	Terminal uridylyltransferase 4	Tut4	26	1594760	1287970	1750340	1465730		1943060	1480850	1662680	1575500
P35290	Ras-related protein Rab-24	Rab24	9	1117080	1287120	1430180	1387850		1070730	1173930	1297540	1092880
Q6PD03	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	Ppp2r5a	11	1347130	1286890	1326970	1368580		1422990	1204670	1403170	1050380
Q8C5N5	Programmed cell death protein 2-like	Pdcd2l	6	1193000	1286720	471370	601077		903787	1263920	328130	571143
P59326	YTH domain-containing family protein 1	Ythdf1	8	1433890	1286360	1144270	1173840		1324870	1376240	1233900	1127090
P51949	CDK-activating kinase assembly factor MAT1	Mnat1	10	1374070	1284660	1098900	1551420		1113120	1303900	1021630	1430730
P56371	Ras-related protein Rab-4A	Rab4a	4	1114770	1282050	835932	1114540		1070300	1025420	1210470	1086320
Q9WV85	Nucleoside diphosphate kinase 3	Nme3	5	1247210	1281220	1255940	1620520		1053280	1270830	1013570	1259460
Q9CWT6	Probable ATP-dependent RNA helicase DDX28	Ddx28	15	1394230	1280940	1549510	1351130		1181130	1175340	1235940	1292850
Q8K1N4	Spermatogenesis-associated serine-rich protein 2	Spats2	18	1427580	1280040	1456780	1400210		1406350	1347640	1310790	1603810
O08791;Q07802	Transcription factor COE3	Ebf1;Ebf3	5	1476870	1279470	1324600	1335000		1305660	910356	1261630	1329550
Q69ZQ2	Pre-mRNA-splicing factor ISY1 homolog	Isy1	8	1029360	1278910	849621	718134		1137010	1264080	672044	836264
Q99L27	GMP reductase 2	Gmpr2	10	1493440	1278140	1116380	1106930		1412620	1439280	762707	981390
Q8CH02	SURP and G-patch domain-containing protein 1	Sugp1	12	1497500	1275680	1130250	1406620		1503830	1370190	1078370	1346420
Q8VDI9	"Alpha-1,2-mannosyltransferase ALG9"	Alg9	13	1242630	1275420	1303430	1271460		959203	1130430	1369330	1143120
Q6Y685;Q9JJG0	Transforming acidic coiled-coil-containing protein 1	Tacc1;Tacc2	2	587803	1275110	796332	920048		1093080	1010980	620561	1054530
G3X9X1	Kelch repeat and BTB (POZ) domain-containing 2	Kbtbd2	12	940141	1274520	1176830	1300240		1263340	1216000	1155460	1255010
Q8R2U2	Nucleolus and neural progenitor protein	Nepro	11	963622	1274120	1466750	1720850		1245570	1276370	1541500	1250670
E9Q5K9	YTH domain-containing protein 1	Ythdc1	13	2132070	1273380	1661390	1754520		2232920	1374370	1657640	1588670
Q9JJ94	Sjoegren syndrome nuclear autoantigen 1 homolog	Ssna1	5	1244130	1273380	688924	1404420		924166	1691330	669244	1541410
Q99JR5	Tubulointerstitial nephritis antigen-like	Tinagl1	10	2409240	1272420	1713080	609670		3304450	1525950	1924930	800375
Q8K215	LYR motif-containing protein 4	Lyrm4	5	1615050	1272170	1982890	1756750		1329710	1254970	1837790	1860360
Q91ZV8	Adhesion G protein-coupled receptor A2	Adgra2	14	1600220	1271950	2017840	1683390		1643710	1301280	1427310	1751040
O35963	Ras-related protein Rab-33B	Rab33b	8	1083350	1271350	1328000	1191100		1329730	1126490	1243410	1078350
Q9Z0P7	Suppressor of fused homolog	Sufu	7	905292	1268450	1033320	1484810		1106560	1389640	1204750	1762680
Q8C1Z8	tRNA methyltransferase 10 homolog A	Trmt10a	9	1240300	1268440	1586470	1587150		1052100	884609	1476120	1565330
Q6PAV2	Probable E3 ubiquitin-protein ligase HERC4	Herc4	27	1336590	1267910	1505440	1555960		1369120	1339540	1354880	1594730
Q9R1X4	Protein timeless homolog	Timeless	24	1059210	1267650	1055740	1386740		1093420	1134610	745115	1478410
Q922B1	ADP-ribose glycohydrolase MACROD1	Macrod1	9	1070880	1263830	2531410	1160030		774813	969587	4207620	2088380
Q9ESY9	Gamma-interferon-inducible lysosomal thiol reductase	Ifi30	2	878829	1263640	1343980	NaN		743528	549364	136830	330160
Q6TYB5	Fasciculation and elongation protein zeta-2	Fez2	7	1240620	1263310	960071	1387150		1358860	1576690	854524	1106110
Q8BGQ6	EF-hand calcium-binding domain-containing protein 14	Efcab14	7	1178910	1262430	1225580	1356770		751701	1151400	963841	1318770
Q9CQ21	Malignant T-cell-amplified sequence 2	Mcts2	5	1187430	1260930	994896	822736		1050750	1246730	1002540	800786
P15535	"Beta-1,4-galactosyltransferase 1"	B4galt1	8	1262190	1259610	852186	1217970		1097910	1044880	857112	1163940
Q70FJ1	A-kinase anchor protein 9	Akap9	75	1719160	1258790	1714200	1239700		1632120	1378040	1473810	1343870
Q63810	Calcineurin subunit B type 1	Ppp3r1	7	1435800	1257890	1243640	866978		1196190	1257230	1484030	908837
Q91XL3	UDP-glucuronic acid decarboxylase 1	Uxs1	9	1166510	1257140	1621270	1520980		1038260	1337720	1287900	1543730
Q8BWT5	Disco-interacting protein 2 homolog A	Dip2a	23	1461950	1255920	1573280	1374190		1088100	1408200	1385860	1331250
Q9Z2G0	Protein fem-1 homolog B	Fem1b	13	443163	1255790	1093350	984480		699106	917473	554343	1217830
Q91ZV0	Melanoma inhibitory activity protein 2	Mia2	23	1279970	1255410	1725020	1598270		1314420	1322620	1380320	1509210
Q62481	Vacuolar protein sorting-associated protein 72 homolog	Vps72	6	1447030	1255280	1196880	1229810		1622880	1365840	1316050	1349830
Q8K409	DNA polymerase beta	Polb	11	1778020	1254410	1596380	1304460		1566540	1367690	1353330	1321970
Q8R3B1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1"	Plcd1	19	1285450	1254350	1912710	1033140		1365970	1172080	1839620	1346340
Q8BSK8	Ribosomal protein S6 kinase beta-1	Rps6kb1	6	1165000	1254350	1423980	1771510		1536660	1295880	1363170	1889800
Q6R891	Neurabin-2	Ppp1r9b	21	1562130	1254020	1767970	1454210		1532820	1462250	1613950	1335580
P15920;Q9Z1G4	V-type proton ATPase 116 kDa subunit a2	Atp6v0a1;Atp6v0a2	2	764278	1253390	869506	1555000		804131	1128810	954511	1709030
P52503	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"	Ndufs6	6	1730630	1252920	1546620	710557		1243390	1372200	3986460	891345
P49138;Q3UMW7	MAP kinase-activated protein kinase 2	Mapkapk2;Mapkapk3	4	1218270	1252920	806800	1327610		1260410	1386810	908578	1494780
G3UZ78	Androglobin	Adgb	1	1175700	1252440	1474870	1628530		1250350	1162220	1191410	1524310
Q3UQ84	"Threonine--tRNA ligase, mitochondrial"	Tars2	19	1213420	1252070	1508380	1001520		1384420	1034350	1075180	1220270
Q8C163	"Nuclease EXOG, mitochondrial"	Exog	8	497813	1250550	830480	1191800		585324	632911	971007	1518620
Q810S1	"Calcium uniporter regulatory subunit MCUb, mitochondrial"	Mcub	6	1483640	1249990	1449180	1682920		1408390	899227	1173230	1768930
O70174	Neuronal acetylcholine receptor subunit alpha-4	Chrna4	1	2613000	1249900	2872180	2114410		2258620	2150320	2499040	1924190
Q924H2	Mediator of RNA polymerase II transcription subunit 15	Med15	11	1405660	1249660	1493020	1644680		1113810	1446360	1294930	1519340
P04627	Serine/threonine-protein kinase A-Raf	Araf	9	1129970	1248760	1131460	1173920		1113180	1335870	1149760	1176640
Q8VE80	THO complex subunit 3	Thoc3	10	1344440	1248660	1459150	1149040		1353240	1372130	921332	1135560
P54754;P54761	Ephrin type-B receptor 3	Ephb3;Ephb4	4	1227180	1248470	1379880	784343		1283970	876302	1012730	892798
Q80VA0	N-acetylgalactosaminyltransferase 7	Galnt7	17	1295460	1248090	1692300	1515580		1038050	1294330	1570310	1657780
Q99N91	"39S ribosomal protein L34, mitochondrial"	Mrpl34	2	2082680	1248080	2248130	2415390		857997	622626	2637360	2409850
Q8K2C8	Glycerol-3-phosphate acyltransferase 4	Gpat4	10	930139	1248020	976895	1294720		896569	1234570	1027390	1215750
Q9ET26	E3 ubiquitin-protein ligase RNF114	Rnf114	10	1239850	1247030	1342000	1024190		1686390	1557810	1010470	1135890
Q8CJ67;Q9Z108	Double-stranded RNA-binding protein Staufen homolog 2	Stau1;Stau2	2	1496570	1246420	1336560	1386020		1281110	564020	1124420	1767490
O88848	ADP-ribosylation factor-like protein 6	Arl6	9	1082090	1245610	1307470	1384340		1228210	1199990	1055080	1647620
Q91ZU1	Ankyrin repeat and SOCS box protein 6	Asb6	9	563133	1245600	675215	998732		559848	1196340	543263	1253250
Q9Z2A0	3-phosphoinositide-dependent protein kinase 1	Pdpk1	16	1464980	1245520	2032960	2103730		1610780	1556830	2078180	2212000
A2A690	Protein TANC2	Tanc2	16	911735	1244590	975776	1294610		1193710	1392720	847538	1098360
Q9JJ06	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	C1galt1	5	1250170	1243790	826105	1509230		906190	944085	524836	1490360
Q3TB82	Pleckstrin homology domain-containing family F member 1	Plekhf1	7	1115030	1243490	1137970	991438		904023	1394700	919553	1375520
P70335	Rho-associated protein kinase 1	Rock1	41	1463960	1243390	1288200	1424010		1419420	1349930	1226580	1348460
Q9CQX8	"28S ribosomal protein S36, mitochondrial"	Mrps36	4	1577250	1243370	1534010	1189790		1302410	1408480	2049040	1629690
Q8VEH3	ADP-ribosylation factor-like protein 8A	Arl8a	3	963542	1242720	1760110	1907700		1106460	1118170	1464460	2553340
Q9WVJ9	EGF-containing fibulin-like extracellular matrix protein 2	Efemp2	8	1473910	1241930	703857	922860		1455130	1287780	668999	963114
Q6SKR2	Methyltransferase N6AMT1	N6amt1	4	1748610	1241570	1401930	1971460		1144770	1222780	1088520	2189140
Q99KS2	Neugrin	Ngrn	8	1393580	1241150	1460550	1553390		1379780	1150820	1460680	1471190
P19426	Negative elongation factor E	Nelfe	13	1136340	1240690	1535030	1139460		1056490	1072240	1466420	1161320
P17183;P21550	Gamma-enolase	Eno2;Eno3	1	2327700	1240170	3299890	294255		2431030	711760	1.55E+07	1211720
